"Product","Blackbox flight data recorder by Nicholas Sherlock"
"firmwareType",3
"firmware","3.3"
"firmwarePatch",3
"firmwareVersion","3.3.3"
"Firmware revision","Betaflight 3.3.3 (4dd6907a9) MATEKF722"
"Firmware date","Jun 11 2022 14:50:31"
"Log start datetime","0000-01-01T00:00:00.000+00:00"
"Craft name","NEUROFLIGHT"
"frameIntervalI",32
"frameIntervalPNum",1
"frameIntervalPDenom",1
"minthrottle",1070
"maxthrottle",2000
"gyroScale",1.7453292519943295e-8
"motorOutput","128,2047"
"acc_1G",2048
"vbatscale",110
"vbatmincellvoltage",33
"vbatwarningcellvoltage",35
"vbatmaxcellvoltage",43
"vbatref",150
"currentMeterOffset",0
"currentMeterScale",179
"looptime",125
"gyro_sync_denom",1
"pid_process_denom",8
"thrMid",50
"thrExpo",0
"dynThrPID",10
"tpa_breakpoint",1650
"rc_rates","100,100,100"
"rc_expo","0,0,0"
"rates","70,70,70"
"rollPID","40,40,30"
"pitchPID","58,50,35"
"yawPID","70,45,20"
"altPID","50,0,0"
"posPID","15,0,0"
"posrPID","34,14,53"
"navrPID","25,33,83"
"levelPID","50,50,75"
"magPID","40,,"
"velPID","55,55,75"
"dterm_filter_type",1
"dterm_lpf_hz",100
"yaw_lpf_hz",0
"dterm_notch_hz",260
"dterm_notch_cutoff",160
"itermWindupPointPercent",50
"vbat_pid_compensation",0
"pidAtMinThrottle",1
"anti_gravity_threshold",350
"anti_gravity_gain",1000
"setpointRelaxRatio",100
"dtermSetpointWeight",0
"yawRateAccelLimit",0.1
"rateAccelLimit",0
"pidSumLimit",500
"pidSumLimitYaw",400
"deadband",0
"yaw_deadband",0
"gyro_lpf",0
"gyro_soft_type",0
"gyro_lowpass_hz",90
"gyro_notch_hz","400,200"
"gyro_notch_cutoff","300,100"
"acc_lpf_hz",1000
"acc_hardware",0
"baro_hardware",0
"mag_hardware",0
"gyro_cal_on_first_arm",0
"rc_interpolation",2
"rc_interpolation_interval",19
"airmode_activate_throttle",32
"serialrx_provider",2
"unsynced_fast_pwm",0
"fast_pwm_protocol",7
"motor_pwm_rate",480
"digitalIdleOffset",400
"debug_mode",0
"features",263176
"loopIteration","time","axisP[0]","axisP[1]","axisP[2]","axisI[0]","axisI[1]","axisI[2]","axisD[0]","axisD[1]","axisD[2]","rcCommand[0]","rcCommand[1]","rcCommand[2]","rcCommand[3]","vbatLatest","amperageLatest","BaroAlt","gyroADC[0]","gyroADC[1]","gyroADC[2]","accSmooth[0]","accSmooth[1]","accSmooth[2]","motor[0]","motor[1]","motor[2]","motor[3]","flightModeFlags","stateFlags","failsafePhase","rxSignalReceived","rxFlightChannelsValid","heading[0]","heading[1]","heading[2]","axisSum[0]","axisSum[1]","axisSum[2]","rcCommands[0]","rcCommands[1]","rcCommands[2]","rcCommands[3]","axisError[0]","axisError[1]","axisError[2]"
0,177354915,0,0,0,0,0,0,0,0,0,9,-2,0,1000,151,0,20,8,0,1,56,242,2098,128,83,338,232,"","","","","",0.11484042203955849,-0.026510057108625452,4.3964843684292925,0,0,0,3,-1,0,0,5,1,1,"",""
1,177356263,0,0,0,0,0,0,0,0,0,9,-2,0,1000,151,0,20,7,0,0,62,241,2095,131,83,309,264,1,8,0,1,1,0.11476871159254277,-0.027951187479493156,4.39648436842814,0,0,0,3,-1,0,0,4,1,0,"",""
2,177357740,0,0,0,0,0,0,0,0,0,9,-2,0,1000,151,0,20,7,0,-2,68,239,2093,160,83,345,299,1,8,0,1,1,0.11453275708480902,-0.02938708929535632,4.396535609799363,0,0,0,3,-1,0,0,4,1,-2,"",""
3,177359229,0,0,0,0,0,0,0,0,0,9,-2,0,1000,151,0,20,7,0,-3,72,238,2090,162,83,328,335,1,8,0,1,1,0.11438433445341749,-0.030588172086141605,4.396613104269479,0,0,0,3,-1,0,0,4,1,-3,"",""
4,177360593,0,0,0,0,0,0,0,0,0,9,-2,0,1000,151,0,20,6,0,-3,74,238,2088,178,83,336,382,1,8,0,1,1,0.1143222393914767,-0.03150463784406026,4.396684098945307,0,0,0,3,-1,0,0,3,1,-3,"",""
5,177361937,0,0,0,0,0,0,0,0,0,9,-2,0,1000,151,0,20,6,0,-3,74,237,2085,169,83,360,287,1,8,0,1,1,0.11425132393726938,-0.03212283065317332,4.396754056808772,0,0,0,3,-1,0,0,3,1,-3,"",""
6,177363267,0,0,0,0,0,0,0,0,0,9,-2,0,1000,151,0,20,6,1,-2,73,235,2082,155,83,324,347,1,8,0,1,1,0.11410665934519801,-0.03248525804973309,4.396797572860919,0,0,0,3,-1,0,0,3,2,-2,"",""
7,177364598,0,0,0,0,0,0,0,0,0,9,-2,0,1000,151,0,20,6,0,-1,70,232,2080,147,83,319,235,1,8,0,1,1,0.11385033741619728,-0.03260170871338077,4.396820689725232,0,0,0,3,-1,0,0,3,1,-1,"",""
8,177365931,0,0,0,0,0,0,0,0,0,9,-2,0,1000,151,0,20,7,0,0,65,228,2078,135,83,319,179,1,8,0,1,1,0.11348684753130855,-0.03243278373052192,4.396820720296457,0,0,0,3,-1,0,0,4,1,0,"",""
9,177367274,0,0,0,0,0,0,0,0,0,9,-2,0,1000,151,0,22,7,1,1,60,225,2077,114,83,276,210,1,8,0,1,1,0.11307455657676362,-0.032041328501200034,4.396794803395534,0,0,0,3,-1,0,0,4,2,1,"",""
10,177368635,0,0,0,0,0,0,0,0,0,9,-2,0,1000,151,0,22,8,1,2,56,222,2076,114,83,293,160,1,8,0,1,1,0.11264913705113203,-0.03154833727012122,4.396744947145315,0,0,0,3,-1,0,0,5,2,2,"",""
