"Product","Blackbox flight data recorder by Nicholas Sherlock"
"firmwareType",3
"firmware","3.3"
"firmwarePatch",3
"firmwareVersion","3.3.3"
"Firmware revision","Betaflight 3.3.3 (a2d5a6482) MATEKF722"
"Firmware date","Apr 16 2020 13:32:09"
"Log start datetime","0000-01-01T00:00:00.000+00:00"
"Craft name","NEUROFLIGHT"
"frameIntervalI",32
"frameIntervalPNum",1
"frameIntervalPDenom",1
"minthrottle",1070
"maxthrottle",2000
"gyroScale",1.7453292519943295e-8
"motorOutput","128,2047"
"acc_1G",2048
"vbatscale",110
"vbatmincellvoltage",33
"vbatwarningcellvoltage",35
"vbatmaxcellvoltage",43
"vbatref",150
"currentMeterOffset",0
"currentMeterScale",179
"looptime",125
"gyro_sync_denom",1
"pid_process_denom",8
"thrMid",50
"thrExpo",0
"dynThrPID",10
"tpa_breakpoint",1650
"rc_rates","100,100,100"
"rc_expo","0,0,0"
"rates","70,70,70"
"rollPID","40,40,30"
"pitchPID","58,50,35"
"yawPID","70,45,20"
"altPID","50,0,0"
"posPID","15,0,0"
"posrPID","34,14,53"
"navrPID","25,33,83"
"levelPID","50,50,75"
"magPID","40,,"
"velPID","55,55,75"
"dterm_filter_type",1
"dterm_lpf_hz",100
"yaw_lpf_hz",0
"dterm_notch_hz",260
"dterm_notch_cutoff",160
"itermWindupPointPercent",50
"vbat_pid_compensation",0
"pidAtMinThrottle",1
"anti_gravity_threshold",350
"anti_gravity_gain",1000
"setpointRelaxRatio",100
"dtermSetpointWeight",0
"yawRateAccelLimit",0.1
"rateAccelLimit",0
"pidSumLimit",500
"pidSumLimitYaw",400
"deadband",0
"yaw_deadband",0
"gyro_lpf",0
"gyro_soft_type",0
"gyro_lowpass_hz",90
"gyro_notch_hz","400,200"
"gyro_notch_cutoff","300,100"
"acc_lpf_hz",1000
"acc_hardware",0
"baro_hardware",0
"mag_hardware",0
"gyro_cal_on_first_arm",0
"rc_interpolation",2
"rc_interpolation_interval",19
"airmode_activate_throttle",32
"serialrx_provider",2
"unsynced_fast_pwm",0
"fast_pwm_protocol",7
"motor_pwm_rate",480
"digitalIdleOffset",400
"debug_mode",0
"features",263176
"loopIteration","time","axisP[0]","axisP[1]","axisP[2]","axisI[0]","axisI[1]","axisI[2]","axisD[0]","axisD[1]","axisD[2]","rcCommand[0]","rcCommand[1]","rcCommand[2]","rcCommand[3]","vbatLatest","amperageLatest","BaroAlt","gyroADC[0]","gyroADC[1]","gyroADC[2]","accSmooth[0]","accSmooth[1]","accSmooth[2]","motor[0]","motor[1]","motor[2]","motor[3]","flightModeFlags","stateFlags","failsafePhase","rxSignalReceived","rxFlightChannelsValid","heading[0]","heading[1]","heading[2]","axisSum[0]","axisSum[1]","axisSum[2]","rcCommands[0]","rcCommands[1]","rcCommands[2]","rcCommands[3]","axisError[0]","axisError[1]","axisError[2]"
0,111417648,0,0,0,0,0,0,0,0,0,0,0,0,1000,150,0,59,1,0,3,101,-57,2073,128,146,136,85,"","","","","",-0.027489455640799212,-0.048664798402692916,4.396484333371582,0,0,0,0,0,0,0,1,0,3,"",""
1,111419150,0,0,0,0,0,0,0,0,0,0,0,0,1000,150,0,59,1,0,4,101,-57,2073,134,155,151,85,1,8,0,1,1,-0.027478909463569984,-0.048663359762266205,4.396379389326434,0,0,0,0,0,0,0,1,0,4,"",""
2,111420778,0,0,0,0,0,0,0,0,0,0,0,0,1000,150,0,59,1,0,4,101,-58,2073,124,159,155,85,1,8,0,1,1,-0.02762813251191947,-0.04866154649776287,4.3962656426873385,0,0,0,0,0,0,0,1,0,4,"",""
3,111422403,0,0,0,0,0,0,0,0,0,0,0,0,1000,150,0,59,1,0,5,102,-59,2073,117,167,154,85,1,8,0,1,1,-0.027818909731597223,-0.0487796694374402,4.396123720697501,0,0,0,0,0,0,0,1,0,5,"",""
4,111423890,0,0,0,0,0,0,0,0,0,0,0,0,1000,150,0,59,1,0,5,102,-60,2073,118,169,163,85,1,8,0,1,1,-0.0280272904831765,-0.048849874280697037,4.395993852481848,0,0,0,0,0,0,0,1,0,5,"",""
5,111425383,0,0,0,0,0,0,0,0,0,0,0,0,1000,150,0,59,1,0,6,102,-61,2073,121,174,170,85,1,8,0,1,1,-0.028244624051889395,-0.04889532334656307,4.395837383268586,0,0,0,0,0,0,0,1,0,6,"",""
6,111426880,0,0,0,0,0,0,0,0,0,0,0,0,1000,150,0,59,1,0,5,103,-62,2074,113,172,166,85,1,8,0,1,1,-0.028463343168491303,-0.048993337657072124,4.395706642538148,0,0,0,0,0,0,0,1,0,5,"",""
7,111428373,0,0,0,0,0,0,0,0,0,0,0,0,1000,150,0,59,1,0,5,103,-63,2073,113,170,167,85,1,8,0,1,1,-0.028687296225612318,-0.049069244936515065,4.395576252727128,0,0,0,0,0,0,0,1,0,5,"",""
8,111429859,0,0,0,0,0,0,0,0,0,0,0,0,1000,150,0,55,1,0,5,104,-64,2073,117,167,167,85,1,8,0,1,1,-0.028913310151499214,-0.049181587067809326,4.395446473260425,0,0,0,0,0,0,0,1,0,5,"",""
9,111431350,0,0,0,0,0,0,0,0,0,0,0,0,1000,150,0,55,1,0,5,104,-64,2073,110,160,159,85,1,8,0,1,1,-0.02909213205960982,-0.049271050949786545,4.395316257183074,0,0,0,0,0,0,0,1,0,5,"",""
10,111432830,0,0,0,0,0,0,0,0,0,0,0,0,1000,150,0,55,1,0,4,105,-64,2074,104,149,151,85,1,8,0,1,1,-0.029234364871035114,-0.04938650674264414,4.395212850472793,0,0,0,0,0,0,0,1,0,4,"",""
